fic_id,author,title,words,published,status,chapters,rating,category,fandom,relationship,character,warning,freeform,url
6954559,['enpleurs'],when it rains (it pours),"29,784",2016-05-24,oneshot,01-Jan,['Explicit'],['M/M'],['INFINITE (Band)'],['Lee Sungyeol/Nam Woohyun'],[],['No Archive Warnings Apply'],"['AU', 'still not a college au']",http://archiveofourown.org/works/6954559
12005586,['enpleurs'],run with me (catch me if you can),"86,858",2017-09-13,Updated: 2017-09-13,03-Mar,['Mature'],['M/M'],['VIXX'],['Cha Hakyeon | N/Kim Wonshik | Ravi'],[],['No Archive Warnings Apply'],"['Side Pairing: Keo', 'Historical AU', 'see notes for warnings and other notes']",http://archiveofourown.org/works/12005586
33751156,['enpleurs'],Until the Stars Die in Heaven,"195,838",2021-09-08,Updated: 2022-11-05,45/65,['Teen And Up Audiences'],['Gen'],['VIXX'],['Cha Hakyeon | N/Jung Taekwoon | Leo'],[],['Creator Chose Not To Use Archive Warnings'],"['Historical Fantasy', 'Platonic Relationships', 'see notes for warnings and further notes', 'Welcome Back Jung Taekwoon!', 'genre expected warnings', 'Soulmates', 'Season 2 In July 2022!', 'Updates Saturday!', 'Season 3 in 2023!']",http://archiveofourown.org/works/33751156
12005586,['enpleurs'],run with me (catch me if you can),"86,858",2017-09-13,Updated: 2017-09-13,03-Mar,['Mature'],['M/M'],['VIXX'],['Cha Hakyeon | N/Kim Wonshik | Ravi'],[],['No Archive Warnings Apply'],"['Side Pairing: Keo', 'Historical AU', 'see notes for warnings and other notes']",http://archiveofourown.org/works/12005586
,,,,,,,,,,,,,,
61766950,['enbaisant (enpleurs)'],to the world we dream about (and the one we live in now),"1,851",2024-12-29,oneshot,01-Jan,['Explicit'],['M/M'],"['VIXX', 'EXO (Band)']",['Jung Taekwoon | Leo/Kim Minseok | Xiumin'],[],['No Archive Warnings Apply'],"['Cuddling', ""i am never going to not make fun of taekwoon's flat ass"", ""also he's really tall""]",http://archiveofourown.org/works/61766950
